,timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses
200,01-02-2020 00:03,-0.012,9.152,9.136,-0.022,9.152,53.15,0.0375,1,0,1,1,0,1,1,1
210,01-02-2020 00:03,-0.012,9.142,9.126,-0.022,9.142,53.2,0.04,1,0,1,1,0,1,1,1
220,01-02-2020 00:03,-0.012,9.132,9.116,-0.022,9.132,53.225,0.04,1,0,1,1,0,1,1,1
230,43862.00208,-0.012,9.122,9.106,-0.022,9.12,53.175,0.04,1,0,1,1,0,1,1,1
240,43862.00208,-0.014,9.11,9.094,-0.024,9.11,53.125,0.0425,1,0,1,1,0,1,1,1
250,43862.00278,-0.014,9.1,9.084,-0.024,9.1,53.1,0.04,1,0,1,1,0,1,1,1
260,43862.00278,-0.012,9.092,9.076,-0.022,9.09,53.125,0.04,1,0,1,1,0,1,1,1
270,43862.00278,-0.012,9.082,9.066,-0.024,9.082,53.225,0.04,1,0,1,1,0,1,1,1
280,43862.00278,-0.014,9.07,9.054,-0.022,9.07,53.1,0.04,1,0,1,1,0,1,1,1
290,43862.00278,-0.014,9.06,9.044,-0.022,9.062,53.125,0.04,1,0,1,1,0,1,1,1
300,43862.00278,-0.012,9.05,9.036,-0.024,9.05,53.1,0.04,1,0,1,1,0,1,1,1
310,43862.00347,-0.012,9.04,9.026,-0.022,9.042,53.1,0.04,1,0,1,1,0,1,1,1
320,43862.00347,-0.014,9.032,9.016,-0.024,9.032,53.125,0.04,1,0,1,1,0,1,1,1
330,43862.00347,-0.014,9.018,9.006,-0.024,9.022,53.125,0.04,1,0,1,1,0,1,1,1
340,43862.00347,-0.014,9.01,8.996,-0.022,9.01,53.1,0.04,1,0,1,1,0,1,1,1
350,43862.00347,-0.014,9,8.986,-0.022,9.002,53.025,0.04,1,0,1,1,0,1,1,1
360,43862.00347,-0.014,8.99,8.976,-0.022,8.992,53.025,0.04,1,0,1,1,0,1,1,1
370,43862.00417,-0.014,8.982,8.966,-0.022,8.982,53,0.0375,1,0,1,1,0,1,1,1
380,43862.00417,-0.014,8.972,8.958,-0.024,8.974,52.975,0.04,1,0,1,1,0,1,1,1
390,43862.00417,-0.012,8.96,8.946,-0.024,8.962,52.9,0.04,1,0,1,1,0,1,1,1
400,43862.00417,-0.014,8.952,8.936,-0.022,8.952,52.825,0.0375,1,0,1,1,0,1,1,1
410,43862.00417,-0.012,8.942,8.926,-0.022,8.944,52.825,0.04,1,0,1,1,0,1,1,1
420,43862.00417,-0.014,8.932,8.916,-0.024,8.932,52.825,0.04,1,0,1,1,0,1,1,1
430,43862.00486,-0.012,8.924,8.908,-0.022,8.922,52.775,0.04,1,0,1,1,0,1,1,1
440,43862.00486,-0.012,8.914,8.898,-0.022,8.914,52.75,0.04,1,0,1,1,0,1,1,1
450,43862.00486,-0.012,8.902,8.888,-0.024,8.902,52.725,0.04,1,0,1,1,0,1,1,1
460,43862.00486,-0.014,8.892,8.878,-0.022,8.894,52.775,0.04,1,0,1,1,0,1,1,1
470,43862.00486,-0.014,8.884,8.868,-0.022,8.886,52.7,0.04,1,0,1,1,0,1,1,1
480,43862.00486,-0.014,8.874,8.86,-0.024,8.876,52.7,0.04,1,0,1,1,0,1,1,1
490,43862.00556,-0.014,8.862,8.85,-0.024,8.866,52.65,0.04,1,0,1,1,0,1,1,1
500,43862.00556,-0.014,8.854,8.84,-0.022,8.856,52.725,0.04,1,0,1,1,0,1,1,1
510,43862.00556,-0.012,8.846,8.83,-0.024,8.848,52.575,0.04,1,0,1,1,0,1,1,1
520,43862.00556,-0.014,8.836,8.82,-0.022,8.838,52.6,0.0425,1,0,1,1,0,1,1,1
530,43862.00556,-0.014,8.826,8.812,-0.022,8.828,52.5,0.04,1,0,1,1,0,1,1,1
540,43862.00556,-0.014,8.818,8.802,-0.022,8.818,52.5,0.04,1,0,1,1,0,1,1,1
550,43862.00625,-0.014,8.806,8.79,-0.022,8.808,52.425,0.04,1,0,1,1,0,1,1,1
560,43862.00625,-0.012,8.798,8.782,-0.022,8.798,52.45,0.04,1,0,1,1,0,1,1,1
570,43862.00625,-0.014,8.788,8.774,-0.022,8.788,52.325,0.04,1,0,1,1,0,1,1,1
580,43862.00625,-0.014,8.778,8.764,-0.024,8.778,52.4,0.04,1,0,1,1,0,1,1,1
590,43862.00625,-0.012,8.768,8.754,-0.024,8.77,52.425,0.04,1,0,1,1,0,1,1,1
600,43862.00625,-0.014,8.76,8.746,-0.022,8.76,52.425,0.04,1,0,1,1,0,1,1,1
610,43862.00694,-0.014,8.75,8.736,-0.024,8.75,52.225,0.04,1,0,1,1,0,1,1,1
620,43862.00694,-0.014,8.74,8.728,-0.022,8.74,52.2,0.04,1,0,1,1,0,1,1,1
630,43862.00694,-0.014,8.732,8.718,-0.024,8.732,52.3,0.04,1,0,1,1,0,1,1,1
640,43862.00694,-0.014,8.722,8.708,-0.024,8.724,52.125,0.0375,1,0,1,1,0,1,1,1
650,43862.00694,-0.014,8.712,8.698,-0.024,8.714,52.225,0.04,1,0,1,1,0,1,1,1
660,43862.00694,-0.014,8.704,8.69,-0.024,8.704,52.125,0.0375,1,0,1,1,0,1,1,1
670,43862.00764,-0.014,8.694,8.68,-0.024,8.696,52.2,0.04,1,0,1,1,0,1,1,1
680,43862.00764,-0.014,8.684,8.672,-0.022,8.686,52.05,0.04,1,0,1,1,0,1,1,1
690,43862.00764,-0.014,8.676,8.662,-0.024,8.678,52.025,0.04,1,0,1,1,0,1,1,1
700,43862.00764,-0.012,8.666,8.654,-0.024,8.666,52.1,0.04,1,0,1,1,0,1,1,1
710,43862.00764,-0.012,8.656,8.644,-0.024,8.658,52.025,0.04,1,0,1,1,0,1,1,1
720,43862.00764,-0.012,8.648,8.634,-0.024,8.65,52,0.04,1,0,1,1,0,1,1,1
730,43862.00833,-0.014,8.64,8.624,-0.024,8.638,51.975,0.0375,1,0,1,1,0,1,1,1
740,43862.00833,-0.014,8.63,8.616,-0.024,8.632,51.925,0.04,1,0,1,1,0,1,1,1
750,43862.00833,-0.014,8.62,8.606,-0.022,8.62,51.925,0.04,1,0,1,1,0,1,1,1
760,43862.00833,-0.014,8.612,8.598,-0.024,8.614,51.825,0.0375,1,0,1,1,0,1,1,1
770,43862.00833,-0.014,8.602,8.588,-0.024,8.602,51.85,0.04,1,0,1,1,0,1,1,1
780,43862.00833,-0.014,8.592,8.578,-0.022,8.594,51.8,0.04,1,0,1,1,0,1,1,1
790,43862.00903,-0.014,8.584,8.57,-0.024,8.584,51.825,0.04,1,0,1,1,0,1,1,1
800,43862.00903,-0.014,8.576,8.56,-0.022,8.574,51.8,0.04,1,0,1,1,0,1,1,1
810,43862.00903,-0.014,8.564,8.552,-0.024,8.566,51.7,0.04,1,0,1,1,0,1,1,1
820,43862.00903,-0.014,8.558,8.542,-0.022,8.558,51.625,0.04,1,0,1,1,0,1,1,1
830,43862.00903,-0.014,8.548,8.534,-0.022,8.55,51.6,0.0375,1,0,1,1,0,1,1,1
840,43862.00903,-0.014,8.538,8.524,-0.022,8.538,51.575,0.04,1,0,1,1,0,1,1,1
850,43862.00972,-0.014,8.532,8.516,-0.022,8.532,51.625,0.04,1,0,1,1,0,1,1,1
860,43862.00972,-0.014,8.522,8.508,-0.024,8.522,51.475,0.04,1,0,1,1,0,1,1,1
870,43862.00972,-0.014,8.512,8.5,-0.022,8.512,51.5,0.04,1,0,1,1,0,1,1,1
880,43862.00972,-0.014,8.504,8.49,-0.024,8.504,51.5,0.04,1,0,1,1,0,1,1,1
890,43862.00972,-0.014,8.494,8.48,-0.024,8.496,51.4,0.04,1,0,1,1,0,1,1,1
900,43862.00972,-0.014,8.488,8.474,-0.022,8.486,51.35,0.04,1,0,1,1,0,1,1,1
910,43862.01042,-0.014,8.478,8.464,-0.024,8.478,51.325,0.04,1,0,1,1,0,1,1,1
920,43862.01042,-0.014,8.47,8.454,-0.022,8.468,51.425,0.04,1,0,1,1,0,1,1,1
930,43862.01042,-0.014,8.46,8.446,-0.024,8.458,51.325,0.04,1,0,1,1,0,1,1,1
940,43862.01042,-0.014,8.452,8.438,-0.022,8.45,51.425,0.04,1,0,1,1,0,1,1,1
950,43862.01042,-0.014,8.442,8.428,-0.024,8.442,51.3,0.04,1,0,1,1,0,1,1,1
960,43862.01042,-0.012,8.434,8.42,-0.022,8.434,51.225,0.04,1,0,1,1,0,1,1,1
970,43862.01111,-0.016,8.424,8.41,-0.024,8.424,51.275,0.04,1,0,1,1,0,1,1,1
980,43862.01111,-0.014,8.418,8.402,-0.024,8.418,51.15,0.04,1,0,1,1,0,1,1,1
990,43862.01111,-0.012,8.408,8.394,-0.022,8.408,51.225,0.04,1,0,1,1,0,1,1,1
